,0,1,2
11,306130,The Elder Scrolls® Online,"[{""name"": ""RPG"", ""tagid"": 122}, {""name"": ""MMORPG"", ""tagid"": 1754}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Exploration"", ""tagid"": 3834}, {""name"": ""Fantasy"", ""tagid"": 1684}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Massively Multiplayer"", ""tagid"": 128}]"
12,976730,Halo: The Master Chief Collection,"[{""name"": ""Great Soundtrack"", ""tagid"": 1756}, {""name"": ""FPS"", ""tagid"": 1663}, {""name"": ""Classic"", ""tagid"": 1693}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Story Rich"", ""tagid"": 1742}, {""name"": ""Sci-fi"", ""tagid"": 3942}, {""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""First-Person"", ""tagid"": 3839}, {""name"": ""Epic"", ""tagid"": 3965}, {""name"": ""Action"", ""tagid"": 19}]"
13,812140,Assassin's Creed® Odyssey,"[{""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Assassin"", ""tagid"": 4376}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Historical"", ""tagid"": 3987}, {""name"": ""Stealth"", ""tagid"": 1687}, {""name"": ""Story Rich"", ""tagid"": 1742}, {""name"": ""Female Protagonist"", ""tagid"": 7208}]"
14,39210,FINAL FANTASY XIV Online,"[{""name"": ""MMORPG"", ""tagid"": 1754}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Massively Multiplayer"", ""tagid"": 128}, {""name"": ""Fantasy"", ""tagid"": 1684}, {""name"": ""JRPG"", ""tagid"": 4434}, {""name"": ""Great Soundtrack"", ""tagid"": 1756}, {""name"": ""Character Customization"", ""tagid"": 4747}, {""name"": ""Story Rich"", ""tagid"": 1742}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Anime"", ""tagid"": 4085}]"
15,252950,Rocket League®,"[{""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Soccer"", ""tagid"": 1679}, {""name"": ""Competitive"", ""tagid"": 3878}, {""name"": ""Sports"", ""tagid"": 701}, {""name"": ""Racing"", ""tagid"": 699}, {""name"": ""Team-Based"", ""tagid"": 5711}, {""name"": ""Online Co-Op"", ""tagid"": 3843}, {""name"": ""Football"", ""tagid"": 7226}, {""name"": ""Fast-Paced"", ""tagid"": 1734}, {""name"": ""Co-op"", ""tagid"": 1685}]"
16,292030,The Witcher® 3: Wild Hunt,"[{""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Story Rich"", ""tagid"": 1742}, {""name"": ""Atmospheric"", ""tagid"": 4166}, {""name"": ""Mature"", ""tagid"": 5611}, {""name"": ""Fantasy"", ""tagid"": 1684}, {""name"": ""Adventure"", ""tagid"": 21}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Choices Matter"", ""tagid"": 6426}, {""name"": ""Nudity"", ""tagid"": 6650}]"
17,238960,Path of Exile,"[{""name"": ""Free to Play"", ""tagid"": 113}, {""name"": ""Action RPG"", ""tagid"": 4231}, {""name"": ""Hack and Slash"", ""tagid"": 1646}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Loot"", ""tagid"": 4236}, {""name"": ""Massively Multiplayer"", ""tagid"": 128}, {""name"": ""Dungeon Crawler"", ""tagid"": 1720}, {""name"": ""Character Customization"", ""tagid"": 4747}, {""name"": ""Inventory Management"", ""tagid"": 6276}]"
18,883710,Resident Evil 2,"[{""name"": ""Zombies"", ""tagid"": 1659}, {""name"": ""Survival Horror"", ""tagid"": 3978}, {""name"": ""Horror"", ""tagid"": 1667}, {""name"": ""Remake"", ""tagid"": 5708}, {""name"": ""Singleplayer"", ""tagid"": 4182}, {""name"": ""Third Person"", ""tagid"": 1697}, {""name"": ""Gore"", ""tagid"": 4345}, {""name"": ""Action"", ""tagid"": 19}, {""name"": ""Atmospheric"", ""tagid"": 4166}, {""name"": ""Puzzle"", ""tagid"": 1664}]"
19,1172380,STAR WARS Jedi: Fallen Order™,"[{""name"": ""Action-Adventure"", ""tagid"": 4106}, {""name"": ""Third Person"", ""tagid"": 1697}, {""name"": ""Souls-like"", ""tagid"": 29482}, {""name"": ""Swordplay"", ""tagid"": 4608}, {""name"": ""Platformer"", ""tagid"": 1625}, {""name"": ""Open World"", ""tagid"": 1695}, {""name"": ""Story Rich"", ""tagid"": 1742}, {""name"": ""Exploration"", ""tagid"": 3834}, {""name"": ""RPG"", ""tagid"": 122}, {""name"": ""Action"", ""tagid"": 19}]"
20,381210,Dead by Daylight,"[{""name"": ""Horror"", ""tagid"": 1667}, {""name"": ""Survival Horror"", ""tagid"": 3978}, {""name"": ""Multiplayer"", ""tagid"": 3859}, {""name"": ""Online Co-Op"", ""tagid"": 3843}, {""name"": ""Survival"", ""tagid"": 1662}, {""name"": ""Co-op"", ""tagid"": 1685}, {""name"": ""Gore"", ""tagid"": 4345}, {""name"": ""Team-Based"", ""tagid"": 5711}, {""name"": ""Stealth"", ""tagid"": 1687}, {""name"": ""Blood"", ""tagid"": 5228}]"
